Priority,Area,Current State,Risk,Recommendation,Suggested Terraform Change,Operational Impact
High,EC2 ingress exposure,EC2 allows 8080-8081 inbound from entire Fargate SG,Any task in that SG can reach EC2 app ports,Create a dedicated ECS service SG for only trusted callers and restrict EC2 ingress source to that SG,Split SGs and update aws_ecs_service network_configuration security_groups,Reduces lateral movement between unrelated tasks
High,RDS ingress scope,RDS allows 5432 from EC2 SG and Fargate SG broadly,Any workload in those SGs can attempt DB access,Use dedicated DB-client SGs and attach only to applications that require PostgreSQL,Create specific SGs for AuraService DB client and ECS DB client then reference in RDS SG rules,Tighter database blast radius
High,Strict Spot availability,Spot-only ECS service desired_count=1,Interruption can cause temporary outage,Increase desired_count to 2 if budget permits while staying spot-only to improve continuity,Set aws_ecs_service desired_count to 2,Improves resilience with higher compute spend
Medium,EC2 egress breadth,EC2 SG egress allows all protocols to 0.0.0.0/0,Unrestricted outbound path if host is compromised,Restrict egress to required ports and destinations (RDS 5432, AWS APIs via VPC endpoints or specific CIDRs),Replace all-open egress with explicit aws_security_group_rule entries,Lower data exfiltration risk
Medium,Fargate egress breadth,Fargate SG egress allows all protocols to 0.0.0.0/0,Tasks can reach any internet destination,Restrict outbound to required endpoints/ports and prefer VPC endpoints for AWS services,Define explicit egress SG rules and route dependency list,Reduces unintended external connectivity
Medium,SSH management path,SSH exposed on 22 from my_ip_address,Operational errors can expose admin plane,Use AWS Systems Manager Session Manager and remove SSH ingress entirely,Remove EC2 SG SSH rule and add SSM instance profile permissions,Improves admin security and auditability
Medium,RDS SG egress,RDS SG has allow-all egress,Unnecessary broad outbound policy though SGs are stateful,Remove broad egress from RDS SG unless required by operational tooling,Delete RDS SG egress block or narrow it explicitly,Cleaner least-privilege posture
Medium,Public ECS task networking,ECS tasks get public IP in public subnets,Direct internet exposure path if misconfigured later,Prefer private subnets + NAT or VPC endpoints for production app tasks where possible,Move ECS subnets to private and set assign_public_ip=false (requires NAT/VPC endpoints),More secure runtime networking model
Low,AMI selection determinism,Deep Learning AMI selected by broad name filter,Unexpected AMI changes over time,Pin AMI ID per environment and update intentionally through release process,Replace data.aws_ami lookup with variable ami_id,More predictable patch/change control
Low,Data protection,RDS storage encryption not explicitly set,Potential compliance gap depending on account defaults,Set storage_encrypted=true and manage KMS key explicitly,set aws_db_instance storage_encrypted and kms_key_id,Better compliance and key governance
